629.34479	139	
629.68795	128	
630.03111	130	
630.37427	132	
630.71743	131	
631.06058	136	
631.40373	137	
631.74687	135	
632.09002	130	
632.43316	134	
632.7763	127	
633.11943	145	
633.46256	130	
633.80569	135	
634.14882	139	
634.49194	134	
634.83506	140	
635.17818	132	
635.52129	135	
635.8644	138	
636.20751	134	
636.55061	137	
636.89372	135	
637.23682	126	
637.57991	140	
637.92301	137	
638.2661	135	
638.60918	142	
638.95227	136	
639.29535	139	
639.63843	142	
639.98151	132	
640.32458	139	
640.66765	137	
641.01071	145	
641.35378	136	
641.69684	138	
642.0399	130	
642.38295	140	
642.726	143	
643.06905	144	
643.4121	137	
643.75514	142	
644.09818	139	
644.44122	130	
644.78425	135	
645.12728	134	
645.47031	141	
645.81333	140	
646.15636	156	
646.49937	156	
646.84239	181	
647.1854	219	
647.52841	318	
647.87142	490	
648.21442	755	
648.55742	1077	
648.90042	1407	
649.24341	1767	
649.58641	2158	
649.92939	2505	
650.27238	2844	
650.61536	3153	
650.95834	3399	
651.30132	3610	
651.64429	3709	
651.98726	3784	
652.33023	3916	
652.67319	4020	
653.01615	4114	
653.35911	4233	
653.70206	4281	
654.04501	4396	
654.38796	4466	
654.73091	4533	
655.07385	4615	
655.41679	4707	
655.75972	4756	
656.10266	4810	
656.44559	4919	
656.78851	4983	
657.13144	5049	
657.47436	5058	
657.81727	5173	
658.16019	5223	
658.5031	5221	
658.84601	5303	
659.18891	5353	
659.53181	5433	
659.87471	5431	
660.21761	5463	
660.5605	5480	
660.90339	5503	
661.24627	5522	
661.58915	5569	
661.93203	5588	
662.27491	5597	
662.61778	5646	
662.96065	5706	
663.30352	5662	
663.64638	5685	
663.98924	5643	
664.3321	5687	
664.67495	5650	
665.01781	5657	
665.36065	5673	
665.7035	5656	
666.04634	5577	
666.38918	5606	
666.73201	5575	
667.07484	5550	
667.41767	5517	
667.7605	5455	
668.10332	5485	
668.44614	5433	
668.78895	5396	
669.13176	5389	
669.47457	5376	
669.81738	5333	
670.16018	5273	
670.50298	5221	
670.84578	5272	
671.18857	5185	
671.53136	5137	
671.87415	5080	
672.21693	5080	
672.55971	4986	
672.90249	4935	
673.24526	4897	
673.58803	4873	
673.9308	4823	
674.27356	4731	
674.61632	4709	
674.95908	4621	
675.30183	4552	
675.64458	4500	
675.98733	4416	
676.33007	4415	
676.67281	4343	
677.01555	4278	
677.35828	4189	
677.70102	4180	
678.04374	4087	
678.38647	4060	
678.72919	3997	
679.07191	3966	
679.41462	3886	
679.75733	3837	
680.10004	3758	
680.44274	3671	
680.78544	3687	
681.12814	3618	
681.47083	3548	
681.81353	3533	
682.15621	3424	
682.4989	3373	
682.84158	3357	
683.18426	3281	
683.52693	3244	
683.8696	3165	
684.21227	3136	
684.55493	3104	
684.89759	3067	
685.24025	3026	
685.5829	2995	
685.92556	2919	
686.2682	2858	
686.61085	2838	
686.95349	2793	
687.29612	2753	
687.63876	2720	
687.98139	2676	
688.32402	2659	
688.66664	2624	
689.00926	2552	
689.35188	2513	
689.69449	2502	
690.0371	2453	
690.37971	2411	
690.72231	2374	
691.06491	2339	
691.4075	2285	
691.7501	2248	
692.09269	2238	
692.43527	2189	
692.77786	2175	
693.12044	2147	
693.46301	2122	
693.80558	2069	
694.14815	2046	
694.49072	1989	
694.83328	1987	
695.17584	1946	
695.51839	1902	
695.86094	1894	
696.20349	1867	
696.54604	1852	
696.88858	1838	
697.23112	1794	
697.57365	1757	
697.91618	1758	
698.25871	1714	
698.60123	1713	
698.94375	1676	
699.28627	1663	
699.62878	1621	
699.97129	1616	
700.3138	1602	
700.6563	1583	
700.9988	1563	
701.3413	1560	
701.68379	1532	
702.02628	1508	
702.36877	1482	
702.71125	1491	
703.05373	1447	
703.3962	1416	
703.73867	1397	
704.08114	1384	
704.4236	1400	
704.76606	1381	
705.10852	1371	
705.45098	1349	
705.79343	1324	
706.13587	1333	
706.47832	1306	
706.82075	1282	
707.16319	1281	
707.50562	1268	
707.84805	1238	
708.19048	1222	
708.5329	1208	
708.87532	1221	
709.21773	1175	
709.56014	1159	
709.90255	1174	
710.24495	1167	
710.58735	1172	
710.92975	1141	
711.27214	1125	
711.61453	1140	
711.95692	1098	
712.2993	1113	
712.64168	1105	
712.98405	1075	
713.32643	1068	
713.66879	1066	
714.01116	1041	
714.35352	1039	
714.69588	1059	
715.03823	1008	
715.38058	1031	
715.72292	1012	
716.06527	997	
716.40761	994	
716.74994	969	
717.09227	985	
717.4346	971	
717.77692	951	
718.11924	959	
718.46156	965	
718.80387	951	
719.14618	943	
719.48849	942	
719.83079	938	
720.17309	940	
720.51539	920	
720.85768	893	
721.19997	908	
721.54225	890	
721.88453	893	
722.22681	871	
722.56908	855	
722.91135	853	
723.25361	879	
723.59588	859	
723.93813	864	
724.28039	855	
724.62264	847	
724.96489	842	
725.30713	825	
725.64937	818	
725.9916	794	
726.33384	792	
726.67606	786	
727.01829	796	
727.36051	792	
727.70273	797	
728.04494	765	
728.38715	782	
728.72936	764	
729.07156	752	
729.41376	751	
729.75595	730	
730.09814	720	
730.44033	711	
730.78251	693	
731.12469	709	
731.46687	707	
731.80904	702	
732.15121	711	
732.49337	705	
732.83553	692	
733.17769	676	
733.51985	676	
733.86199	652	
734.20414	652	
734.54628	646	
734.88842	620	
735.23055	629	
735.57269	638	
735.91481	637	
736.25693	653	
736.59905	624	
736.94117	626	
737.28328	609	
737.62539	618	
737.96749	595	
738.30959	591	
738.65169	581	
738.99378	571	
739.33587	570	
739.67795	565	
740.02003	567	
740.36211	567	
740.70418	555	
741.04625	541	
741.38832	540	
741.73038	547	
742.07244	543	
742.41449	545	
742.75654	512	
743.09859	505	
743.44063	501	
743.78267	499	
744.1247	476	
744.46673	480	
744.80876	484	
745.15078	480	
745.4928	481	
745.83482	487	
746.17683	486	
746.51884	475	
746.86084	472	
747.20284	459	
747.54483	445	
747.88683	455	
748.22881	437	
748.5708	422	
748.91278	413	
749.25475	414	
749.59673	410	
749.93869	414	
750.28066	409	
750.62262	414	
750.96457	406	
751.30653	410	
751.64848	399	
751.99042	405	
752.33236	378	
752.6743	380	
753.01623	368	
753.35816	368	
753.70008	359	
754.042	354	
754.38392	350	
754.72583	350	
755.06774	347	
755.40965	345	
755.75155	361	
756.09345	356	
756.43534	347	
756.77723	338	
757.11911	344	
757.46099	347	
757.80287	343	
758.14474	317	
758.48661	322	
758.82848	322	
759.17034	309	
759.51219	299	
759.85405	305	
760.1959	303	
760.53774	301	
760.87958	305	
761.22142	304	
761.56325	299	
761.90508	290	
762.24691	309	
762.58873	301	
762.93054	300	
763.27236	282	
763.61416	290	
763.95597	276	
764.29777	284	
764.63957	273	
764.98136	264	
765.32315	271	
765.66493	257	
766.00671	255	
766.34849	259	
766.69026	251	
767.03203	259	
767.37379	263	
767.71555	262	
768.05731	259	
768.39906	248	
768.74081	252	
769.08255	252	
769.42429	247	
769.76602	254	
770.10776	238	
770.44948	230	
770.79121	236	
771.13292	240	
771.47464	228	
771.81635	224	
772.15806	232	
772.49976	231	
772.84146	239	
773.18315	229	
773.52484	228	
773.86653	215	
774.20821	224	
774.54989	223	
774.89156	221	
775.23323	222	
775.57489	218	
775.91656	220	
776.25821	217	
776.59986	218	
776.94151	209	
777.28316	209	
777.6248	214	
777.96643	202	
778.30807	200	
778.64969	212	
778.99132	206	
779.33294	205	
779.67455	203	
780.01616	207	
780.35777	202	
780.69937	209	
781.04097	202	
781.38256	196	
781.72415	195	
782.06574	195	
782.40732	196	
782.7489	198	
783.09047	192	
783.43204	197	
783.7736	191	
784.11516	197	
784.45672	187	
784.79827	178	
785.13982	194	
785.48136	181	
785.8229	189	
786.16444	178	
786.50597	185	
786.8475	188	
787.18902	181	
787.53054	185	
787.87205	180	
788.21356	187	
788.55506	185	
788.89657	187	
789.23806	183	
789.57955	174	
789.92104	178	
790.26253	175	
790.60401	175	
790.94548	170	
791.28695	167	
791.62842	175	
791.96988	179	
792.31134	172	
792.65279	172	
792.99424	172	
793.33569	178	
793.67713	169	
794.01857	165	
794.36	170	
794.70143	176	
795.04285	163	
795.38427	169	
795.72568	163	
796.06709	159	
796.4085	157	
796.7499	164	
797.0913	163	
797.43269	174	
797.77408	157	
798.11547	163	
798.45685	173	
798.79822	170	
799.1396	158	
799.48096	165	
799.82233	159	
800.16368	160	
800.50504	164	
800.84639	162	
801.18773	151	
801.52907	165	
801.87041	149	
802.21174	151	
802.55307	153	
802.89439	155	
803.23571	156	
803.57703	168	
803.91834	167	
804.25964	165	
